Date : 2025-06-10 00:23:15
Directory : c:\Users\name\Documents\mygame
Total : 491 files,  13062 codes, 267 comments, 3290 blanks, all 16619 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        484 |     12,665 |        207 |      3,237 |     16,109 |
| XML             |          1 |        232 |         11 |         14 |        257 |
| Batch           |          1 |        108 |         26 |         16 |        150 |
| Java Properties |          4 |         45 |         16 |         16 |         77 |
| Docker          |          1 |         12 |          7 |          7 |         26 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        491 |     13,062 |        267 |      3,290 |     16,619 |
| . (Files)                                                                                                         |          3 |        352 |         44 |         37 |        433 |
| .mvn                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| .mvn\wrapper                                                                                                      |          1 |          2 |          0 |          1 |          3 |
| src                                                                                                               |        487 |     12,708 |        223 |      3,252 |     16,183 |
| src\main                                                                                                          |        486 |     12,699 |        223 |      3,247 |     16,169 |
| src\main\java                                                                                                     |        483 |     12,656 |        207 |      3,232 |     16,095 |
| src\main\java\com                                                                                                 |        483 |     12,656 |        207 |      3,232 |     16,095 |
| src\main\java\com\mygame                                                                                          |        483 |     12,656 |        207 |      3,232 |     16,095 |
| src\main\java\com\mygame (Files)                                                                                  |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\mygame\config                                                                                   |         11 |        485 |         16 |        119 |        620 |
| src\main\java\com\mygame\config (Files)                                                                           |          2 |         95 |          3 |         15 |        113 |
| src\main\java\com\mygame\config\payment                                                                           |          3 |        116 |          1 |         32 |        149 |
| src\main\java\com\mygame\config\payment\paypal                                                                    |          3 |        116 |          1 |         32 |        149 |
| src\main\java\com\mygame\config\security                                                                          |          5 |        253 |          7 |         66 |        326 |
| src\main\java\com\mygame\config\websocket                                                                         |          1 |         21 |          5 |          6 |         32 |
| src\main\java\com\mygame\constant                                                                                 |          5 |        471 |          0 |         67 |        538 |
| src\main\java\com\mygame\controller                                                                               |         30 |      1,979 |         77 |        385 |      2,441 |
| src\main\java\com\mygame\controller (Files)                                                                       |          4 |        613 |          2 |         90 |        705 |
| src\main\java\com\mygame\controller\address                                                                       |          1 |          1 |         61 |          1 |         63 |
| src\main\java\com\mygame\controller\authentication                                                                |          1 |         91 |          0 |         19 |        110 |
| src\main\java\com\mygame\controller\chat                                                                          |          1 |         40 |          0 |          7 |         47 |
| src\main\java\com\mygame\controller\client                                                                        |         13 |        848 |         11 |        162 |      1,021 |
| src\main\java\com\mygame\controller\general                                                                       |          1 |         65 |          0 |         15 |         80 |
| src\main\java\com\mygame\controller\inventory                                                                     |          4 |        198 |          2 |         58 |        258 |
| src\main\java\com\mygame\controller\order                                                                         |          2 |         54 |          0 |         14 |         68 |
| src\main\java\com\mygame\controller\promotion                                                                     |          1 |         25 |          0 |          7 |         32 |
| src\main\java\com\mygame\controller\statistic                                                                     |          1 |         22 |          1 |          6 |         29 |
| src\main\java\com\mygame\controller\waybill                                                                       |          1 |         22 |          0 |          6 |         28 |
| src\main\java\com\mygame\dto                                                                                      |        179 |      2,843 |          7 |        687 |      3,537 |
| src\main\java\com\mygame\dto (Files)                                                                              |          2 |         41 |          0 |         12 |         53 |
| src\main\java\com\mygame\dto\address                                                                              |          8 |        101 |          0 |         30 |        131 |
| src\main\java\com\mygame\dto\authentication                                                                       |         11 |        114 |          0 |         37 |        151 |
| src\main\java\com\mygame\dto\cashbook                                                                             |          3 |         28 |          0 |         10 |         38 |
| src\main\java\com\mygame\dto\chat                                                                                 |          5 |         71 |          0 |         20 |         91 |
| src\main\java\com\mygame\dto\client                                                                               |         33 |        510 |          1 |        125 |        636 |
| src\main\java\com\mygame\dto\customer                                                                             |          8 |         96 |          0 |         28 |        124 |
| src\main\java\com\mygame\dto\employee                                                                             |         12 |        122 |          0 |         42 |        164 |
| src\main\java\com\mygame\dto\general                                                                              |          6 |         72 |          0 |         19 |         91 |
| src\main\java\com\mygame\dto\inventory                                                                            |         33 |        623 |          0 |        139 |        762 |
| src\main\java\com\mygame\dto\json                                                                                 |          2 |         19 |          0 |          7 |         26 |
| src\main\java\com\mygame\dto\order                                                                                |          9 |        170 |          0 |         35 |        205 |
| src\main\java\com\mygame\dto\payment                                                                              |          8 |        124 |          0 |         29 |        153 |
| src\main\java\com\mygame\dto\product                                                                              |         21 |        366 |          0 |         79 |        445 |
| src\main\java\com\mygame\dto\promotion                                                                            |          3 |         43 |          0 |         11 |         54 |
| src\main\java\com\mygame\dto\review                                                                               |          2 |         47 |          0 |          9 |         56 |
| src\main\java\com\mygame\dto\reward                                                                               |          2 |         24 |          0 |          7 |         31 |
| src\main\java\com\mygame\dto\statistic                                                                            |          2 |         30 |          0 |          8 |         38 |
| src\main\java\com\mygame\dto\waybill                                                                              |          9 |        242 |          6 |         40 |        288 |
| src\main\java\com\mygame\entity                                                                                   |         71 |      2,268 |         30 |        586 |      2,884 |
| src\main\java\com\mygame\entity (Files)                                                                           |          1 |         32 |          0 |          9 |         41 |
| src\main\java\com\mygame\entity\address                                                                           |          4 |        129 |          0 |         29 |        158 |
| src\main\java\com\mygame\entity\authentication                                                                    |          5 |        171 |          5 |         47 |        223 |
| src\main\java\com\mygame\entity\cart                                                                              |          3 |         79 |          2 |         19 |        100 |
| src\main\java\com\mygame\entity\cashbook                                                                          |          2 |         29 |          0 |          8 |         37 |
| src\main\java\com\mygame\entity\chat                                                                              |          2 |         65 |          0 |         15 |         80 |
| src\main\java\com\mygame\entity\client                                                                            |          2 |         52 |          1 |         11 |         64 |
| src\main\java\com\mygame\entity\customer                                                                          |          4 |        137 |          0 |         35 |        172 |
| src\main\java\com\mygame\entity\employee                                                                          |          6 |        181 |          0 |         40 |        221 |
| src\main\java\com\mygame\entity\general                                                                           |          3 |         78 |          9 |         21 |        108 |
| src\main\java\com\mygame\entity\inventory                                                                         |         16 |        480 |          0 |        121 |        601 |
| src\main\java\com\mygame\entity\order                                                                             |          5 |        200 |          2 |         57 |        259 |
| src\main\java\com\mygame\entity\product                                                                           |         10 |        418 |          7 |        114 |        539 |
| src\main\java\com\mygame\entity\promotion                                                                         |          1 |         38 |          0 |          9 |         47 |
| src\main\java\com\mygame\entity\review                                                                            |          1 |         33 |          3 |          9 |         45 |
| src\main\java\com\mygame\entity\reward                                                                            |          3 |         59 |          0 |         16 |         75 |
| src\main\java\com\mygame\entity\waybill                                                                           |          3 |         87 |          1 |         26 |        114 |
| src\main\java\com\mygame\exception                                                                                |          8 |        115 |          0 |         44 |        159 |
| src\main\java\com\mygame\inventory                                                                                |          3 |         51 |          0 |         12 |         63 |
| src\main\java\com\mygame\mapper                                                                                   |         64 |      1,392 |         12 |        376 |      1,780 |
| src\main\java\com\mygame\mapper (Files)                                                                           |          1 |         10 |          0 |         10 |         20 |
| src\main\java\com\mygame\mapper\address                                                                           |          4 |         71 |          0 |         21 |         92 |
| src\main\java\com\mygame\mapper\authentication                                                                    |          2 |         39 |          0 |         12 |         51 |
| src\main\java\com\mygame\mapper\cashbook                                                                          |          1 |         18 |          0 |          7 |         25 |
| src\main\java\com\mygame\mapper\chat                                                                              |          2 |         31 |          0 |         10 |         41 |
| src\main\java\com\mygame\mapper\client                                                                            |          8 |        491 |         12 |         97 |        600 |
| src\main\java\com\mygame\mapper\customer                                                                          |          4 |         54 |          0 |         15 |         69 |
| src\main\java\com\mygame\mapper\employee                                                                          |          6 |         79 |          0 |         21 |        100 |
| src\main\java\com\mygame\mapper\general                                                                           |          3 |         43 |          0 |         14 |         57 |
| src\main\java\com\mygame\mapper\inventory                                                                         |         13 |        230 |          0 |         68 |        298 |
| src\main\java\com\mygame\mapper\order                                                                             |          4 |         75 |          0 |         23 |         98 |
| src\main\java\com\mygame\mapper\product                                                                           |         12 |        153 |          0 |         50 |        203 |
| src\main\java\com\mygame\mapper\promotion                                                                         |          1 |         45 |          0 |         11 |         56 |
| src\main\java\com\mygame\mapper\review                                                                            |          1 |         21 |          0 |          6 |         27 |
| src\main\java\com\mygame\mapper\reward                                                                            |          1 |         12 |          0 |          5 |         17 |
| src\main\java\com\mygame\mapper\waybill                                                                           |          1 |         20 |          0 |          6 |         26 |
| src\main\java\com\mygame\repository                                                                               |         67 |        938 |         10 |        367 |      1,315 |
| src\main\java\com\mygame\repository (Files)                                                                       |          1 |         75 |          0 |         11 |         86 |
| src\main\java\com\mygame\repository\address                                                                       |          4 |         23 |          0 |         12 |         35 |
| src\main\java\com\mygame\repository\authentication                                                                |          5 |         59 |          0 |         34 |         93 |
| src\main\java\com\mygame\repository\cart                                                                          |          2 |         18 |          0 |          9 |         27 |
| src\main\java\com\mygame\repository\cashbook                                                                      |          1 |          8 |          0 |          6 |         14 |
| src\main\java\com\mygame\repository\chat                                                                          |          2 |         17 |          0 |         11 |         28 |
| src\main\java\com\mygame\repository\client                                                                        |          2 |         38 |          0 |         15 |         53 |
| src\main\java\com\mygame\repository\customer                                                                      |          4 |         27 |          0 |         11 |         38 |
| src\main\java\com\mygame\repository\employee                                                                      |          6 |         36 |          0 |         14 |         50 |
| src\main\java\com\mygame\repository\general                                                                       |          4 |         80 |          0 |         29 |        109 |
| src\main\java\com\mygame\repository\inventory                                                                     |         13 |         96 |          0 |         47 |        143 |
| src\main\java\com\mygame\repository\order                                                                         |          5 |         65 |          0 |         27 |         92 |
| src\main\java\com\mygame\repository\product                                                                       |         10 |        239 |         10 |         78 |        327 |
| src\main\java\com\mygame\repository\promotion                                                                     |          1 |         34 |          0 |         11 |         45 |
| src\main\java\com\mygame\repository\review                                                                        |          2 |         58 |          0 |         19 |         77 |
| src\main\java\com\mygame\repository\reward                                                                        |          2 |         21 |          0 |         13 |         34 |
| src\main\java\com\mygame\repository\waybill                                                                       |          3 |         44 |          0 |         20 |         64 |
| src\main\java\com\mygame\service                                                                                  |         38 |      1,761 |         43 |        482 |      2,286 |
| src\main\java\com\mygame\service (Files)                                                                          |          2 |        128 |          0 |         30 |        158 |
| src\main\java\com\mygame\service\address                                                                          |          2 |         46 |          0 |         16 |         62 |
| src\main\java\com\mygame\service\auth                                                                             |          2 |        183 |          7 |         52 |        242 |
| src\main\java\com\mygame\service\authetication                                                                    |          2 |         54 |          0 |         20 |         74 |
| src\main\java\com\mygame\service\chat                                                                             |          2 |         61 |          2 |         19 |         82 |
| src\main\java\com\mygame\service\email                                                                            |          2 |         55 |          0 |         18 |         73 |
| src\main\java\com\mygame\service\general                                                                          |          5 |        160 |          2 |         45 |        207 |
| src\main\java\com\mygame\service\inventory                                                                        |         10 |        293 |          1 |         93 |        387 |
| src\main\java\com\mygame\service\order                                                                            |          2 |        236 |         16 |         61 |        313 |
| src\main\java\com\mygame\service\promotion                                                                        |          2 |         76 |          0 |         24 |        100 |
| src\main\java\com\mygame\service\review                                                                           |          2 |         56 |          0 |         17 |         73 |
| src\main\java\com\mygame\service\statistic                                                                        |          2 |         68 |          1 |         16 |         85 |
| src\main\java\com\mygame\service\waybill                                                                          |          3 |        345 |         14 |         71 |        430 |
| src\main\java\com\mygame\utils                                                                                    |          6 |        344 |         12 |        102 |        458 |
| src\main\resources                                                                                                |          3 |         43 |         16 |         15 |         74 |
| src\test                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\mygame                                                                                          |          1 |          9 |          0 |          5 |         14 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                          | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\name\Documents\mygame\.mvn\wrapper\maven-wrapper.properties                                              | Java Properties |          2 |          0 |          1 |          3 |
| c:\Users\name\Documents\mygame\Dockerfile                                                                         | Docker          |         12 |          7 |          7 |         26 |
| c:\Users\name\Documents\mygame\mvnw.cmd                                                                           | Batch           |        108 |         26 |         16 |        150 |
| c:\Users\name\Documents\mygame\pom.xml                                                                            | XML             |        232 |         11 |         14 |        257 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\MygameApplication.java                                    | Java            |          9 |          0 |          5 |         14 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\ApplicationConfig.java                             | Java            |         19 |          0 |          6 |         25 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\GenericControllerDocumentationConfig.java          | Java            |         76 |          3 |          9 |         88 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\payment\paypal\PayPalEndpoints.java                | Java            |         19 |          0 |          7 |         26 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\payment\paypal\PayPalHttpClient.java               | Java            |         81 |          1 |         18 |        100 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\payment\paypal\PaypalConfig.java                   | Java            |         16 |          0 |          7 |         23 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\security\AuthTokenFilter.java                      | Java            |         49 |          3 |         15 |         67 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\security\JwtUtils.java                             | Java            |         52 |          0 |         12 |         64 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\security\UserDetailsImpl.java                      | Java            |         45 |          1 |         16 |         62 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\security\UserDetailsServiceImpl.java               | Java            |         24 |          1 |          9 |         34 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\security\WebSecurityConfig.java                    | Java            |         83 |          2 |         14 |         99 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\config\websocket\WebsocketConfig.java                     | Java            |         21 |          5 |          6 |         32 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\constant\AppConstants.java                                | Java            |          9 |          0 |          2 |         11 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\constant\FieldName.java                                   | Java            |         12 |          0 |          2 |         14 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\constant\ResourceName.java                                | Java            |         57 |          0 |          2 |         59 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\constant\SearchFields.java                                | Java            |        366 |          0 |         54 |        420 |
